target_id	length	eff_length	est_counts	tpm
YBR177C	1336	1313	52	163.501
YBR179C	2548	2525	15	24.5251
YBR180W	1699	1676	0	0
YBR181C	691	668	166.32	1027.89
YBR182C	1339	1316	3	9.41122
YBR182C-A	175	152	0	0
YBR183W	931	908	22	100.027
YBR184W	1552	1529	0	0
YBR185C	817	794	7	36.3964
YBR186W	1675	1652	0	0
YBR187W	823	800	10	51.6049
YBR188C	403	380	0	0
YBR189W	568	545	174.037	1318.33
YBR191W	463	440	131.547	1234.27
YBR192W	1114	1091	8	30.2723
YBR193C	652	629	7	45.9439
YBR194W	352	329	1	12.5483
YBR195C	1249	1226	7	23.5715
YBR196C	1645	1622	559	1422.79
YBR196C-A	130	107	0	0
YBR196C-B	85	62	0	0
YBR197C	634	611	4	27.0271
YBR198C	2377	2354	19	33.3217
YBR199W	1375	1352	34	103.82
YBR200W	1636	1613	7	17.9161
YBR200W-A	145	122	0	0
YBR201C-A	184	161	8	205.137
YBR201W	616	593	3	20.8856
YBR202W	2518	2495	25	41.3666
YBR203W	2755	2732	27	40.8003
YBR204C	1108	1085	14	53.2695
YBR205W	1195	1172	13	45.7927
YBR207W	1378	1355	46	140.152
YBR208C	5488	5465	50	37.7712
YBR210W	409	386	6	64.1718
YBR211C	955	932	5	22.148
YBR212W	1999	1976	42	87.7491
YBR213W	805	782	8	42.2342
YBR214W	1564	1541	40	107.161
YBR215W	1858	1835	9	20.2482
YBR216C	2005	1982	7	14.5806
YBR217W	541	518	1	7.96986
YBR218C	3523	3500	63.2844	74.6465
YBR219C	364	341	0.474981	5.75045
YBR220C	1663	1640	2.52502	6.35626
YBR221C	1081	1058	75	292.655
YBR221W-A	85	62	0	0
YBR222C	1612	1589	62	161.082
YBR223C	1615	1592	1	2.59321
YBR225W	2683	2660	23	35.6966
YBR227C	1543	1520	9	24.4444
YBR228W	895	872	4	18.9376
YBR229C	2845	2822	18	26.3327
YBR230C	385	362	74	843.925
YBR230W-A	181	158	5	130.645
YBR231C	892	869	5	23.7537
YBR233W	1222	1199	7	24.1024
YBR233W-A	265	242	1	17.0595
YBR234C	1135	1112	31	115.09
YBR235W	3343	3320	9	11.1914
YBR236C	1291	1268	7	22.7908
YBR237W	2530	2507	5	8.23372
YBR238C	2176	2153	7	13.4225
YBR239C	1570	1547	8	21.3491
YBR240C	1333	1310	4	12.6058
YBR241C	1447	1424	15	43.4872
YBR242W	697	674	5	30.626
YBR243C	1327	1304	9	28.4935
YBR244W	469	446	5	46.2824
YBR245C	3370	3347	23	28.3696
YBR246W	1144	1121	2	7.36555
YBR247C	1432	1409	11	32.2301
YBR248C	1639	1616	23	58.758
YBR249C	1093	1070	82	316.381
YBR250W	1552	1529	0	0
YBR251W	904	881	10	46.8603
YBR252W	424	401	10	102.952
YBR253W	346	323	2	25.5628
YBR254C	508	485	2	17.0243
YBR255C-A	343	320	5	64.5061
YBR255W	2065	2042	6	12.1304
YBR256C	697	674	19	116.379
YBR257W	820	797	5	25.8996
YBR258C	409	386	4	42.7812
YBR259W	2047	2024	2	4.07944
YBR260C	1981	1958	5	10.5424
YBR261C	679	656	11	69.226
YBR262C	301	278	9	133.653
YBR263W	1453	1430	44	127.027
YBR264C	580	557	5	37.0591
YBR265W	943	920	9	40.3864
YBR267W	1162	1139	6	21.7474
YBR268W	298	275	5	75.0616
YBR269C	397	374	29	320.116
YBR270C	1618	1595	4	10.3533
YBR271W	1240	1217	0	0
YBR272C	1423	1400	9	26.5396
YBR273C	1291	1268	12	39.0699
YBR274W	1564	1541	4	10.7161
YBR275C	5731	5708	10	7.23264
YBR276C	2404	2381	8	13.8711
YBR278W	586	563	1	7.33284
YBR279W	1318	1295	17	54.1951
YBR280C	1894	1871	10	22.0651
YBR281C	2617	2594	5	7.95757
YBR282W	421	398	9	93.3555
YBR283C	1453	1430	36	103.931
YBR284W	2374	2351	2	3.51203
YBR285W	415	392	12	126.379
YBR286W	1594	1571	127	333.74
YBR287W	1264	1241	37	123.087
YBR288C	1432	1409	10	29.3001
YBR289W	2698	2675	13.348	20.6002
YBR290W	946	923	11	49.2007
YBR291C	880	857	6	28.9035
YBR293W	1405	1382	0	0
YBR294W	2560	2537	28	45.5636
YBR295W	3631	3608	41	46.9135
YBR296C	1705	1682	25	61.3613
YBR296C-A	100	77	0	0
YBR297W	1387	1364	9.77883	29.5974
YBR298C	1825	1802	0	0
YBR298C-A	202	179	0	0
YBR299W	1735	1712	0	0
YBR301W	343	320	0	0
YBR302C	1120	1097	13.2517	49.8706
YCL001W	547	524	23	181.208
YCL001W-A	442	419	0	0
YCL001W-B	235	212	0	0
YCL002C	772	749	1	5.51187
YCL004W	1546	1523	0	0
YCL005W	751	728	4	22.6835
YCL005W-A	202	179	13	299.827
YCL008C	1138	1115	5	18.513
YCL009C	910	887	65	302.531
YCL010C	760	737	1	5.60161
YCL011C	1264	1241	11	36.5933
YCL012C	385	362	10	114.044
YCL014W	4891	4868	12	10.1768
YCL016C	1123	1100	3	11.2592
YCL017C	1474	1451	53	150.796
YCL018W	1078	1055	0	0
YCL019W	5293	5270	0	0
YCL020W	1297	1274	0.942474	3.05408
YCL021W-A	358	335	1	12.3235
YCL024W	3094	3071	3	4.03294
YCL025C	1882	1859	93	206.53
