label_0	pb_0	pb_1	pb_2	pb_3	pb_4	pb_5	pb_6	pb_7	pb_8	pb_9	pb_10	pb_11	pb_12	pb_13	pb_14	pb_15	pb_16	pb_17	pb_18	pb_19
0.0	1.0907258555942613e-54	6.0476825828051526e-24	1.0183236757203493e-53	3.939449769271679e-23	1.3693149340748498e-23	4.238740637413668e-22	1.8977366788685442e-22	3.5570816444075133e-31	2.3760249847776028e-30	8.510574903435171e-49	2.4264444686438275e-21	1.6950411298276585e-30	4.281747410432429e-23	7.237755270794725e-23	1.475653327756711e-45	1.333233450691716e-23	1.8298620726518143e-20	2.7996323093817846e-27	7.609867829565962e-14	7.286690052881091e-35
0.0	9.074348513274815e-08	2.0214083953258117e-08	3.870234232121284e-07	1.680568864080343e-07	2.752172553207164e-06	3.172537030060498e-08	1.0683025295429847e-07	2.684087758924623e-06	0.00019630605291482507	5.665890586782387e-07	1.5613112675003972e-08	2.2741231648267837e-07	6.506070975460497e-07	1.0332583258991608e-08	1.0743507080837173e-06	0.00020396134074736076	2.1721333871341004e-07	6.467613998637655e-07	2.9646272236886043e-09	9.028307143489871e-10
0.0	1.6426580270893777e-07	1.171274936122478e-06	4.102229956967343e-09	4.0598697880197576e-07	8.510369163062974e-07	2.302130167490972e-08	3.4972837111290826e-06	3.6136155861960507e-08	3.772727851069642e-06	1.7938309462263872e-06	4.330171091486923e-07	4.011025163663042e-06	3.9153799484174524e-07	4.353465975551703e-06	3.775485512113222e-07	4.8157599435101355e-05	1.8778901210256506e-06	1.0150119524074582e-05	1.3178093781491299e-05	1.413523515022177e-07
0.0	0.0006550070746470554	0.001952572747262768	0.00017484502236255899	0.0011788226382562466	0.0021222328008314788	0.000787861651898811	0.002103032265018447	0.0002581595613829933	0.003667330507157235	0.00512434837357875	0.0014079744487583584	0.005316395001237141	0.0004027586745249341	0.002541181151673655	0.00040589666608463405	0.013327774835518173	0.0021954772865610253	0.005945281771100879	0.002034416850822549	0.00011867676719303826
0.0	1.2088505853542566e-23	8.960642117579376e-11	2.4404739044010798e-22	6.705181946612869e-12	7.208559780721157e-11	2.668086834523012e-10	2.6122612537376688e-09	8.854909964700098e-13	1.4246419871620057e-21	9.336762567925046e-34	4.3417910614231775e-10	1.2238076948351856e-14	4.4141640254658394e-11	2.304050905832829e-08	5.188657133524449e-24	3.224133282512796e-19	8.639374434963666e-08	2.7125893199999606e-08	2.6254159538140114e-08	5.986014821185091e-13
0.0	5.411185927427378e-34	3.5584354079221953e-23	2.847119932802622e-29	2.985993305331751e-26	2.7694110217855926e-15	7.431182524445768e-21	2.3411146726491274e-33	4.268340307418521e-13	1.7934432074696293e-15	9.33347968204734e-19	2.592459955578167e-25	1.8838440760483202e-22	4.889956469515478e-26	2.5759774152581975e-24	6.855846214260247e-17	8.914642438798998e-19	2.7196786840674997e-13	5.596654542791771e-19	7.175116468785059e-31	2.9409610688009387e-27
0.0	9.795444804393826e-34	2.061882306785536e-21	3.0177865159908435e-31	7.213476499922821e-26	8.563674589438705e-16	5.3923876404153716e-21	7.664067044794578e-32	5.746511458424186e-15	3.4467470756330385e-17	2.9549961181195057e-18	7.189978954967861e-24	3.3226634820471116e-21	2.942795672163723e-26	1.0853462053022543e-21	2.409282914829965e-17	2.1048487821356602e-19	2.351263400040494e-12	8.783256477003355e-18	3.1894181151425588e-27	4.604537219928855e-25
0.0	3.905916837457244e-30	3.4372589015016065e-18	1.2862393293620079e-26	2.0945029871970643e-22	2.1355255878010467e-12	1.8454453592807361e-16	4.608656777023117e-29	4.1053533288270705e-11	3.3504565396468384e-14	8.441391639313434e-15	2.3378537341416923e-20	4.404009151270573e-18	3.027130188980591e-23	6.335323017208351e-19	2.590183168884127e-14	5.825238583356669e-17	2.7489070482418512e-09	5.144662040656387e-15	4.923781895434677e-25	3.865882568445304e-22
0.0	7.2085784078736e-50	1.5774084179448467e-25	1.795323353051048e-44	1.1913601894899878e-30	7.253711212498527e-20	6.249585133458058e-23	5.724598585883952e-35	1.408142077144089e-19	1.3015464663539094e-32	1.5380544750920978e-45	7.209273190122522e-27	1.0137810087842002e-29	3.317681288022157e-30	5.744142532667851e-24	3.3110822283924113e-34	1.4091883924333813e-33	1.0817163731113808e-13	2.3472992271499295e-20	6.35414297524529e-30	1.9499377088721498e-30
0.0	6.734419458180612e-05	4.811339150526414e-06	0.0010632176224123016	7.129644512011055e-05	0.0005932239766086504	1.9199411990591206e-05	2.4583602709392728e-05	0.005099225835688103	0.023898606369734607	4.937217711680466e-05	5.306195692126239e-06	2.049985798151354e-05	0.000815795507888063	1.9848765212466315e-06	0.0013157357722254283	0.006122368978996072	4.8142152122153084e-05	5.072908290354191e-05	6.574057948839818e-07	3.4693790657551993e-06
