	young	middle	old
F18A1.7.1	640.511	701.48	602.249
F18A1.5.1	391.021	355.344	350.583
F18A1.8.1	58.932	37.258	34.687
F18C5.2.1	12.616	16.355	13.959
F18E2.1a.1	55.859	86.175	77.699
F18E2.2.1	138.812	119.61	116.024
F18E2.3.1	50.582	52.485	58.186
F18E3.7a.1	15.768	10.317	8.698
F18E9.3.1	7.105	6.686	4.367
F18G5.3.1	12.111	7.511	3.362
F18G5.6.1	49.746	30.786	62.577
F18H3.1.1	13.417	13.409	13.076
F18H3.3a.1	59.143	67.669	115.028
F18H3.4.1	17.357	10.724	18.266
F19B6.2a.1	150.112	161.026	133.222
F19C7.1.1	258.563	415.437	488.524
F19H6.4.1	74.785	92.437	99.273
F20A1.9.1	49.628	32.775	32.008
F20A1.1.1	184.455	215.377	180.78
F20A1.10.1	163.702	231.739	344.549
F20B6.2.1	404.251	257.706	246.836
F20C5.4.1	7.091	12.246	8.673
F20D12.4.1	108.324	98.074	107.093
F20D12.2.1	12.554	10.635	13.761
F21C10.10.1	66.539	90.257	140.996
F21C3.4a.1	16.321	22.244	21.9
F21D5.1.1	261.213	255.176	206.317
F21D5.5.1	34.677	31.709	32.482
F21D5.6.1	66.106	49.874	69.45
F21D5.8.1	113.542	48.231	45.31
F21D5.3a.1	16.268	16.093	29.874
F22A3.6a.1	1439.175	3825.982	1984.136
F22B3.4.1	431.729	276.324	271.608
F22B5.1.1	35.336	47.423	30.22
F22B5.2a.1	169.541	164.975	167.265
F22B5.9.1	161.464	138.986	132.354
F22B5.10.1	124.365	127.6	156.76
F22D3.1b.1	34.758	21.927	49.463
F22D6.3a.1	270.318	267.096	241.395
F22D6.2.1	418.922	327.561	450.833
F22D6.4.1	239.083	393.522	309.605
F22D6.5a.1	41.569	40.588	34.908
F22D6.6.1	80.561	80.237	81.6
F22F1.1.1	156.835	65.466	344.011
F22F4.2.1	99.874	82.037	209.957
F23B12.5.1	211.384	175.466	153.358
F23B12.6.1	126.64	97.817	102.559
F23B12.7.1	14.063	24.376	22.022
F23D12.3.1	11.965	3.834	3.591
F23H12.2.1	184.785	151.472	122.445
F23H12.1.1	46.634	63.547	124.282
F25D1.5.1	16.758	14.895	2.959
F25D1.1a.1	125.791	125.218	128.743
F25E2.4.1	12.902	12.766	21.768
F25H8.2.1	21.855	31.195	30.908
F25H8.1a.1	26.835	37.019	19.833
F26A1.1.1	22.166	27.306	22.953
F26F12.1.1	1654.982	588.866	200.009
F26F4.5.1	35.169	34.509	33.506
F26F4.6.1	19.97	13.295	9.066
F26F4.7.1	26.084	23.37	32.963
F26F4.4.1	30.989	29.025	18.876
F26F4.3.1	10.722	15.855	19.281
F26F4.9a.1	11.538	14.633	13.286
F26F4.1.1	118.501	77.898	84.267
F26F4.10a.1	117.031	129.19	117.291
F26F4.11.1	216.931	180.735	163.881
F26G1.1.1	8.749	8.754	8.916
F27C8.4a.1	87.698	81.118	243.814
F27C8.6.1	39.073	13.075	19.55
F27D9.5.1	167.796	192.057	156.839
F27D9.6.1	10.338	8.846	9.798
F27D9.2.1	9.465	6.795	8.709
F28B12.3.1	51.586	71.664	67.265
F28B12.2a.1	12.617	11.256	18.008
F28B4.3.1	44.742	69.784	59.238
F28C1.1.1	12.66	12.701	9.044
F28C1.3a.1	9.8	10.8	7.602
F28C10.3.1	7.347	8.857	7.771
F28C6.2.1	15.299	21.543	16.285
F28C6.3.1	26.204	35.544	35.382
F28C6.6.1	34.69	32.586	33.611
F28C6.7a.1	2618.522	2253.918	2084.523
F28D1.2.1	36.549	22.507	37.155
F28D1.1.1	18.804	22.311	21.852
F28D1.3.1	106.848	279.741	411.084
F28D1.5.1	614.698	2024.816	2104.026
F28D1.7a.1	4526.112	4643.408	3748.569
F28D1.9.1	2.816	4.851	4.024
F28H7.3.1	136.896	107.641	64.805
F28H7.8.1	12.844	11.084	6.094
F29D10.4.1	15.285	23.249	21.134
F29F11.1.1	198.351	201.76	152.221
F29F11.3.1	22.587	34.584	26.245
F30B5.7.1	6.531	7.21	3.058
F31E8.4.1	65.803	37.458	77.046
F31F6.1.1	25.972	37.567	24.384
F32A5.4a.1	57.077	126.983	158.475
F32A5.5a.1	46.673	47.022	43.347
F32A5.6.1	10.313	14.795	18.566
F32A5.7.1	214.544	167.71	137.834
F32A5.1a.1	19.384	16.103	25.562
F32A6.3c.1	7.099	7.393	9.778
F32A6.4a.1	20.687	19.017	18.827
F32D8.6.1	939.964	589.033	915.014
F32D8.9.1	57.399	85.87	80.806
F32E10.4.1	261.693	222.23	288.709
F32E10.5.1	22.833	19.026	17.865
F32E10.2.1	50.172	30.462	50.136
F32E10.6.1	103.926	133.769	226.034
F32E10.1.1	16.0	14.738	16.282
F32G8.4.1	20.67	39.778	18.497
F32G8.6.1	125.022	145.944	73.292
F33C8.3.1	10.096	9.682	5.819
F33G12.2.1	20.875	19.318	23.166
F33G12.3.1	19.22	27.901	18.424
F33G12.4.1	40.437	27.145	43.536
F33G12.5.1	14.837	13.124	12.883
F33H1.4.1	6.887	9.426	9.262
F34D10.4.1	7.313	7.896	7.404
W07G4.5.1	17.951	30.457	21.021
Y46E12A.4.1	10.782	7.283	26.651
T07A9.11.1	3774.93	3309.311	2908.522
T08G5.5b.1	16.137	17.112	26.646
F58E10.1b.1	2.679	4.601	3.209
F13H10.8a.1	236.49	175.06	250.245
F35A5.8a.1	23.08	18.305	16.638
F35B12.5a.1	24.256	29.319	18.127
F35B12.7.1	314.205	47.493	14.451
F35B12.2.1	10.76	71.259	19.747
F35B12.3.1	28.68	29.692	28.509
F35B12.6.1	13.019	19.668	9.551
F35C11.6.1	9.537	15.644	10.988
F35C11.5.1	92.526	81.627	71.952
F35C8.4.1	11.214	9.362	9.557
F35C8.6.1	114.859	187.251	225.788
F35C8.7a.1	27.69	17.311	18.987
F35C8.5.1	48.548	30.202	33.322
F35D11.5.1	50.644	94.745	63.355
F35D11.4.1	70.646	142.028	94.844
F35G12.1a.1	14.094	14.079	9.382
F35G12.2.1	136.35	186.331	173.275
F35G12.9.1	60.585	56.817	41.215
F35G12.10.1	583.494	665.217	572.238
F35G12.11.1	370.343	288.57	297.0
F35G12.12.1	73.421	79.236	76.565
F35G12.4a.1	34.831	34.266	33.231
F35G12.8.1	48.962	49.128	47.457
F35G2.2.1	86.457	124.452	114.568
F35G2.1a.1	44.557	39.546	73.765
F35G2.4.1	12.164	21.896	14.578
K07H8.1.1	10.404	17.852	13.351
F35H10.7a.1	28.507	27.294	24.55
F35H10.6.1	43.533	50.145	36.63
F35H10.5.1	46.705	23.435	35.211
F35H12.4.1	9.152	12.168	9.296
F35H8.2.1	9.54	5.183	4.442
F35H8.6.1	50.131	55.647	60.193
F36A4.8.1	27.136	51.787	51.181
F36D4.2.1	28.422	42.474	33.171
F36H1.1a.1	464.675	704.895	653.53
F37B12.2.1	52.061	76.896	78.199
F37C12.7.1	268.241	341.441	370.295
F37C12.3.1	285.883	300.957	220.207
F37C12.2.1	18.869	22.898	34.378
F37C12.1.1	28.677	57.246	51.339
F37C12.13a.1	40.115	34.871	23.299
F37D6.1.1	14.913	18.501	16.965
F38B2.4a.1	44.237	28.986	13.175
F38B6.4.1	5.682	6.907	4.346
F38B7.3.1	13.979	12.887	15.273
F38B7.1a.1	20.131	17.438	18.744
F38E1.9.1	161.023	134.974	173.187
F38E11.3.1	10.127	10.594	5.807
F38E11.5.1	129.938	138.923	149.666
F38E9.5.1	39.963	27.109	30.186
F38H4.7.1	12.896	5.715	8.015
F38H4.10.1	18.41	18.262	25.746
F39F10.3.1	19.593	11.013	10.304
F39H12.3.1	19.923	15.727	12.914
F40E10.3.1	74.767	52.109	11.116
F40F11.1.1	4995.112	3044.875	2903.627
F40F4.7.1	48.536	36.181	52.274
F40F4.4a.1	60.182	63.621	69.199
F40F4.3.1	325.891	297.306	530.756
F40F4.2.1	955.961	1887.016	1078.777
F40F8.4.1	41.751	41.568	31.0
F40F8.10.1	4564.038	3902.899	3233.429
F40F8.9.1	57.447	64.952	64.728
F40F9.7a.1	16.898	18.165	19.86
F40F9.6a.1	100.343	100.948	118.486
F40F9.2.1	34.664	65.968	120.954
F41C3.4.1	68.42	65.3	56.277
F41C3.3.1	42.342	67.697	42.84
F41E7.1.1	12.153	29.008	23.51
F41E7.5.1	151.046	60.327	40.068
F41G3.6.1	134.006	139.482	138.224
F41G3.10.1	67.915	110.683	79.822
F41H10.6b.1	31.814	32.813	23.835
F41H10.7.1	137.631	202.92	124.365
F41H10.8.1	188.382	344.334	167.951
F41H10.10.1	39.512	29.092	37.975
F42A10.1.1	88.632	77.533	71.309
F42A10.3.1	59.894	10.695	7.064
F42A10.5.1	176.674	138.222	134.67
F42A10.6.1	136.815	230.881	289.096
F42A10.7.1	156.384	258.797	540.939
F42A9.8a.1	33.27	33.102	27.038
F42A9.2.1	10.281	13.846	13.566
F42C5.7.1	41.184	21.454	12.073
F42C5.9.1	12.5	17.395	15.574
F42C5.10.1	4.968	4.039	5.633
F42E11.1a.1	8.207	4.31	5.143
F42E11.2a.1	15.137	13.104	16.261
F42E11.4.1	17.254	7.831	4.869
F42F12.3.1	12.378	23.327	20.433
F42F12.1.1	204.376	704.121	399.886
F42G10.2.1	6.647	4.35	3.056
F42G9.5a.1	6.096	15.404	13.116
F43C9.2a.1	20.021	30.171	44.731
F43D9.5.1	26.082	11.183	12.59
F43D9.4.1	7784.503	8147.084	8878.293
F43D9.3a.1	41.315	49.233	50.623
F43D9.2.1	36.421	14.152	16.712
F43G6.7.1	95.984	72.14	82.788
F43G6.4.1	9.556	4.267	13.06
F43G6.9.1	51.802	20.943	39.232
F43H9.2a.1	12.235	5.965	3.74
F43H9.1a.1	16.714	10.688	11.997
F44D12.2.1	9.914	13.705	8.692
F44F4.2.1	81.401	98.646	68.444
F44G4.2.1	249.646	227.348	194.68
F45D3.4a.1	326.044	588.065	965.899
F45D3.3.1	33.038	57.014	68.319
F45E12.1a.1	39.098	37.307	55.068
F45E6.2.1	12.541	11.573	14.795
F45H7.2a.1	1.611	3.292	2.465
F46B6.7.1	172.708	194.281	197.181
F46B6.8.1	9.356	25.824	18.811
F46F2.3.1	341.443	131.178	45.809
F46F2.2c.1	14.877	20.744	20.851
F46G10.1a.1	99.224	149.469	131.909
F46G11.3.1	5.101	6.087	4.715
F46H5.4.1	3.767	4.324	6.939
F46H5.2a.1	18.466	11.762	13.77
F46H6.1.1	122.37	110.604	104.55
F47A4.2.1	4.805	3.347	5.023
F47A4.5.1	10.396	9.521	15.967
F47B10.2.1	45.279	13.731	38.163
F47B10.7.1	64.845	25.719	30.215
F47B10.9.1	37.208	24.809	25.799
F47B7.1.1	500.339	208.638	246.105
F47B8.8.1	24.507	12.957	12.495
F47B8.2.1	24.089	65.458	101.425
F47E1.2.1	5.545	10.325	7.489
F47G9.1.1	196.281	236.576	207.609
F48B9.8.1	12.501	15.522	11.842
F48C5.1.1	9.727	9.585	5.597
F48D6.4a.1	372.23	860.916	493.828
F48D6.1.1	23.382	17.266	19.531
F48F7.6.1	44.278	55.228	66.043
F48F7.2.1	8.236	10.138	13.616
F48F7.4.1	6.277	11.009	15.0
F49C12.8.1	472.406	349.8	373.138
F49C12.11.1	680.879	851.902	750.148
F49C12.12a.1	189.824	279.678	266.662
F49C12.14.1	23.626	67.118	40.164
F49C12.13.1	393.728	412.33	284.584
F49E11.10a.1	200.053	771.64	641.284
F49E12.9a.1	70.383	37.097	23.093
F49E12.2.1	543.507	1037.92	1435.145
F49E12.1.1	203.477	251.768	383.798
F49E2.5a.1	18.149	19.057	22.376
F49E8.4.1	81.29	100.657	59.038
F52A8.5.1	48.379	77.626	57.622
F52A8.1.1	805.396	749.623	752.437
F52B10.1a.1	27.011	29.029	34.406
F52B5.2.1	173.066	168.785	159.348
F52B5.3.1	24.053	19.308	22.165
F52B5.5a.1	10.582	13.943	11.398
F52B5.6.1	2655.786	2413.528	2252.477
F52D10.2.1	23.157	10.568	19.982
F52D10.3a.1	934.714	776.716	1035.042
F52E1.10.1	49.07	54.899	47.894
F52E4.5.1	11.555	32.49	22.052
F52E4.1a.1	247.505	278.558	324.392
F52E4.7.1	11.321	10.537	12.736
F52H3.1.1	10.212	4.62	5.71
F52H3.4.1	6.951	9.17	4.913
F52H3.5.1	29.062	46.996	50.551
F52H3.7a.1	220.703	86.063	579.66
F53A9.1.1	90.921	42.516	164.572
F53A9.6.1	79.84	60.399	299.487
F53A9.8.1	968.855	885.191	2369.352
F53B1.2.1	15.066	22.88	20.147
F53B3.1.1	29.309	20.176	23.233
F53B7.3.1	92.817	105.083	73.629
F53F4.10.1	223.505	243.115	202.302
F53F4.11.1	52.399	58.573	64.472
F53F4.13.1	134.745	335.407	308.098
F53F4.12.1	20.0	14.679	13.463
F53F4.3.1	83.746	139.903	91.815
F53H8.4.1	21.585	17.737	26.605
F53H8.1.1	23.351	19.545	20.8
F54B11.5.1	22.547	15.845	26.707
F54B11.6.1	24.619	15.159	17.872
F54B11.3a.1	46.08	42.279	63.176
F54B3.3.1	95.048	80.008	53.416
F54C9.1.1	267.522	245.72	305.903
F54C9.2.1	11.506	11.244	14.067
F54C9.3.1	473.755	458.665	673.332
F54C9.6.1	9.374	25.824	16.742
F54C9.8.1	438.58	424.357	377.508
F54C9.10.1	37.69	65.732	59.177
F54C9.9.1	17.646	19.023	14.57
F54D1.6.1	11.525	14.015	18.002
F54D5.3.1	571.264	944.865	1673.985
F54D5.4.1	170.71	621.566	295.352
F54D5.7.1	110.934	121.248	109.246
F54D5.8.1	205.718	256.337	206.171
F54D5.9.1	7.363	9.276	9.23
F54D8.1.1	8.777	13.65	14.465
F54D8.2.1	1269.398	930.883	896.45
F54D8.3a.1	258.605	358.869	275.566
F54E7.1a.1	10.814	11.066	5.614
F54F7.1.1	12.387	8.913	10.551
F54F7.2.1	28.51	27.549	35.619
F54F7.3.1	89.62	139.679	315.707
F55A11.1.1	211.472	101.592	103.0
F55A11.2.1	28.553	37.934	36.049
F55A11.3.1	49.971	66.301	81.079
F55A11.7.1	27.593	28.259	23.372
F55C5.4.1	41.334	27.49	49.41
F55C5.5.1	62.685	80.385	55.506
F55C5.7a.1	7.237	8.932	13.165
F55C5.8.1	112.374	62.328	71.353
F55D10.1.1	17.284	33.58	27.371
F55E10.6.1	10.288	40.91	7.811
F55G1.8.1	20.024	20.715	30.443
F55G1.6.1	25.438	22.474	14.84
F55G1.9.1	35.722	46.303	34.736
F55G1.4.1	98.479	72.705	65.35
F56C9.3.1	70.119	50.078	37.115
F56C9.7.1	189.173	429.461	358.204
F56C9.8.1	27.336	9.353	12.984
F56D2.6a.1	67.149	59.957	67.558
F56D5.6a.1	7.006	21.701	28.349
F56D5.5.1	16.721	17.098	17.966
F56F10.3.1	35.47	145.136	68.994
F56F3.1.1	372.827	385.468	383.639
F56H9.2a.1	516.796	697.512	611.504
F57B1.4.1	649.313	241.414	74.687
F57B1.3.1	54.192	24.942	9.814
F57B1.2.1	62.324	69.495	69.498
F57B9.5.1	30.469	39.684	43.554
F57B9.2a.1	96.462	71.862	94.409
F57B9.10a.1	415.433	282.403	288.418
F57B9.1.1	30.263	23.736	24.611
F57C12.4.1	3.491	3.964	6.156
F57F5.1.1	396.951	368.519	381.812
F57F5.4a.1	8.081	11.807	11.501
F57G12.1.1	43.698	36.39	27.938
F58B3.1.1	110.992	125.539	156.165
F58B3.6.1	29.933	35.612	44.976
F58B3.7.1	16.376	13.931	17.576
F58B3.4.1	20.388	22.974	16.574
F58B3.5a.1	150.984	145.126	153.727
F58B4.3a.1	33.463	5.929	17.596
F58B4.5.1	9.183	18.3	22.699
F58F9.3b.1	11.789	21.887	25.44
F58F9.7.1	20.216	30.808	19.411
F58G6.1.1	25.502	31.556	39.234
F58G6.5c.1	12.117	8.476	11.304
F58G6.3.1	60.134	18.152	9.368
F58H1.3a.1	32.333	31.88	38.388
F58H12.1.1	3.423	4.263	4.969
F59A2.3.1	238.697	352.635	291.356
F59A6.5.1	24.776	24.564	17.183
F59A6.1a.1	4.4	5.86	11.457
F59E10.1.1	46.725	54.312	48.777
F59F3.1.1	6.438	9.946	7.204
F59G1.3.1	63.218	64.891	63.279
F59G1.1a.1	15.409	12.029	18.711
F40E10.1.1	9.726	6.122	11.512
M6.1d.1	31.966	43.558	32.752
K01A11.2.1	21.26	40.927	32.885
K01C8.1.1	75.709	107.701	60.271
K01C8.6.1	56.303	62.296	56.584
K01C8.9.1	77.243	83.519	83.785
K01C8.5.1	6.564	7.182	6.86
K01D12.6.1	16.163	27.494	19.345
K01H12.1a.1	141.204	68.266	67.947
ZK1251.9a.1	14.042	21.033	19.218
K02A11.3.1	18.566	45.325	58.283
K02B12.3.1	30.51	30.528	29.379
K02B2.4a.1	6.669	3.203	5.19
K02B9.1.1	101.63	62.546	60.311
K02B9.2.1	17.986	13.565	13.987
K02E11.6.1	33.735	8.335	9.946
K02F3.5.1	8.802	5.984	4.354
K02F3.4.1	128.286	150.563	306.408
K02F3.9.1	77.264	68.622	27.245
K02F3.3.1	204.09	296.485	202.932
K02F3.2b.1	36.824	44.43	28.498
K02F3.10.1	138.999	162.076	117.084
K02F3.11.1	138.745	84.834	149.651
K03A1.2a.1	68.603	112.788	138.579
K03A1.5.1	62.338	48.924	33.133
K03B4.2.1	197.798	219.318	262.505
K03B4.1.1	23.832	43.445	32.842
K03B4.7a.1	228.82	212.389	480.878
K03C7.2a.1	40.836	32.74	76.068
K03E6.6.1	44.241	44.949	27.708
K03E6.7.1	29.64	5.64	9.31
K03H1.7.1	111.76	61.02	103.735
K03H1.11.1	9.186	9.053	7.763
K04C2.4.1	14.154	18.067	17.101
K04C2.2.1	25.074	29.171	29.231
K04D7.1.1	2426.773	2052.899	2211.689
K04D7.5a.1	9.22	7.133	10.554
K04D7.3a.1	170.912	120.55	104.038
K04E7.2.1	29.922	15.365	21.99
K04G2.2.1	79.839	46.295	54.384
K04G2.3.1	21.112	25.23	24.828
K04G2.6.1	35.411	37.924	34.044
K04G2.8b.1	13.218	9.317	12.415
K04G2.9.1	24.955	19.767	18.485
K04G2.1.1	239.178	232.29	229.868
K04G7.4a.1	210.166	185.632	176.886
K04G7.1.1	9.603	6.99	17.584
K05F1.5.1	15.426	3.657	8.222
K06A4.3.1	13.618	15.919	3.635
K07C11.3.1	76.655	134.431	84.69
K07C11.7a.1	44.965	42.306	37.613
K07C11.9.1	9.102	21.83	18.283
K07C5.3.1	37.226	51.3	46.687
K07C5.4.1	225.864	188.447	178.789
K07C5.6.1	51.083	48.041	42.332
K07D8.1.1	15.02	15.631	5.345
K07E3.4a.1	64.826	57.71	56.848
K07E3.3.1	62.298	75.63	68.465
K07F5.14.1	10.805	10.797	13.637
K07G5.1.1	32.554	20.548	38.042
K07G5.2.1	56.425	74.355	43.261
K07G5.5.1	6.978	6.455	7.6
K08A8.2a.1	19.228	13.811	28.027
K08A8.1a.1	105.393	127.217	119.559
K08C7.3b.1	9.573	4.862	3.649
K08D10.4.1	154.321	113.065	113.165
K08D10.3a.1	165.022	134.638	125.073
K08D10.2a.1	18.686	14.809	16.98
K08D8.5.1	19.059	48.897	21.464
K08E4.6.1	136.266	148.525	141.586
K08E4.1.1	68.584	56.952	64.303
K08E7.3.1	28.329	40.712	30.793
K08E7.1.1	83.516	71.699	100.714
K08F4.1.1	37.83	29.265	28.374
K08F4.2.1	381.211	287.664	259.122
K08F4.3.1	309.894	376.531	373.625
K08F4.7.1	52.69	86.408	32.318
K08F8.1a.1	56.666	33.306	32.808
K08H2.2.1	10.006	6.543	5.418
K08H2.1.1	11.534	7.263	9.037
K08H2.3.1	36.435	41.641	26.799
K09A11.1.1	8.975	6.872	7.939
K09E2.3.1	73.267	32.431	41.702
K09E3.5.1	11.613	6.234	9.157
K09E3.7.1	3.956	2.35	2.994
K10B3.10b.1	22.901	24.368	23.414
K10D3.3.1	67.531	59.564	41.045
K11E4.4a.1	16.422	11.723	14.713
K11G12.1a.1	25.752	96.576	55.874
K11G12.4a.1	13.958	10.176	16.007
K12D12.2.1	48.181	40.743	49.824
DY3.2.1	191.194	198.882	225.769
C06G3.10.1	27.488	35.115	28.562
M01F1.3.1	50.811	35.578	33.366
M01F1.4a.1	17.61	34.214	29.054
M01F1.6.1	98.18	63.98	40.748
M01F1.5.1	9.919	11.169	13.619
M02D8.3.1	9.293	3.931	6.29
M02D8.4.1	17.623	93.545	28.879
M02D8.5.1	2.75	3.408	3.86
M02D8.1.1	121.664	84.74	24.734
M02F4.7.1	67.039	56.016	44.064
M02F4.8a.1	175.642	72.528	81.786
M03A8.2.1	13.446	14.33	16.534
M03A8.1.1	99.158	152.626	136.711
M03C11.4.1	148.87	126.646	152.55
M03C11.7.1	32.647	48.24	34.089
M03C11.2.1	5.994	11.394	7.763
M03D4.3.1	41.61	12.348	6.02
M03E7.5.1	34.941	33.11	20.962
M04B2.3.1	45.92	43.791	49.009
M04B2.1.1	56.046	34.81	55.221
M04B2.2.1	10.666	13.128	5.788
M04B2.4.1	24.348	20.362	18.825
M04D8.3.1	41.054	4.489	80.154
M04D8.2.1	58.55	30.987	138.054
M05B5.4.1	47.694	49.862	39.345
M05D6.5a.1	69.384	91.838	84.41
M05D6.6.1	98.162	133.372	91.026
M110.4a.1	156.968	118.958	132.301
M142.5a.1	107.729	94.772	76.751
M176.2.1	33.887	32.292	30.83
M176.3.1	117.444	94.555	78.054
M176.4.1	45.284	52.83	83.49
M18.5.1	42.883	45.905	45.026
M18.3.1	14.322	29.464	21.201
M18.1a.1	8.009	17.861	4.305
M18.6a.1	18.653	12.701	13.938
M18.7a.1	270.922	202.522	268.131
M28.5.1	606.476	557.117	475.47
M28.6.1	14.999	25.417	42.722
M28.8.1	23.702	16.704	27.828
M88.1.1	41.66	60.524	52.53
R01E6.3a.1	265.115	223.372	247.175
R01H10.4.1	19.41	18.83	7.485
R01H2.3.1	87.004	71.495	63.693
R01H2.6.1	554.776	455.766	396.201
R02D5.3.1	8.915	15.758	20.826
R02D5.1.1	26.552	4.859	31.98
R02E12.2a.1	30.052	31.854	37.202
R02F2.7.1	10.956	13.161	11.892
R02F2.4.1	39.759	64.052	37.815
R03E9.2.1	3.708	2.957	3.096
R04A9.2.1	33.871	14.496	29.294
R04A9.4.1	65.78	70.55	77.567
R04B5.4a.1	7.87	3.027	5.321
R04B5.5.1	13.62	18.473	9.164
R04B5.9.1	23.95	12.552	7.508
R04D3.4.1	32.349	17.128	14.446
R04D3.2.1	78.069	63.293	53.987
R04D3.3.1	149.061	110.044	89.208
R04F11.3.1	52.963	53.944	55.897
R04F11.2.1	959.779	937.352	766.714
R05D11.1.1	8.26	5.982	8.187
T01H8.1a.1	70.06	62.757	47.702
R05D11.3.1	463.839	462.229	470.957
R05D11.4.1	17.084	20.475	13.449
R05D11.5.1	44.378	36.645	49.955
R05D11.6.1	41.816	52.136	38.106
R05D11.7.1	31.329	21.716	37.326
R05D11.8.1	127.659	126.891	120.563
R05F9.6.1	145.457	147.463	120.328
R05F9.9.1	19.44	13.508	23.261
R05F9.10.1	296.022	230.824	241.121
R05F9.1b.1	45.409	39.494	39.076
R05F9.12.1	77.644	138.238	130.618
R05G6.7.1	1765.127	1247.141	1287.935
R05G6.8.1	13.813	16.154	12.154
R05G6.4.1	23.401	32.975	28.063
R05H5.3.1	1432.942	961.919	981.836
R05H5.5.1	38.538	16.146	18.217
R06C7.1.1	330.259	264.257	285.624
R06C7.4.1	1662.958	2655.248	2317.476
R06C7.3.1	18.7	17.378	11.461
R06C7.5a.1	103.131	86.213	68.879
R06C7.8.1	97.819	88.261	92.867
R07B7.3a.1	105.921	81.009	131.541
R07B7.8.1	5.695	9.986	6.642
R07B7.10.1	22.242	8.754	6.746
R07B7.11.1	7.569	12.707	3.053
R07E3.4.1	16.963	41.848	13.494
R07E3.1a.1	25.208	52.892	43.269
R07E3.5a.1	13.683	17.523	21.053
R07E4.5.1	11.738	15.698	20.788
R07E4.3.1	165.091	159.472	112.632
R07E5.7.1	94.986	66.605	88.5
R07E5.11.1	62.935	40.253	36.558
R07E5.2.1	585.164	474.04	452.87
R07E5.1.1	12.818	14.891	9.694
R07E5.13.1	220.874	143.643	107.656
R07E5.8a.1	46.219	49.173	40.308
R07E5.4.1	38.765	28.291	8.011
R07E5.3.1	115.909	72.42	89.616
R07E5.14.1	267.655	245.778	264.536
R08E3.1a.1	63.364	117.088	139.748
R09A8.3.1	46.119	50.438	45.865
R09E10.7.1	13.468	7.567	7.386
R09G11.2a.1	9.899	12.268	17.148
R09H10.3a.1	51.067	146.033	130.683
R09H10.4.1	4.58	10.07	4.303
R09H10.5.1	23.971	22.741	21.91
R102.2.1	43.57	49.744	51.767
R102.4b.1	25.892	48.772	29.327
R10E11.8.1	227.953	260.012	267.501
R10E4.1.1	12.475	17.926	32.953
R10E4.4.1	264.02	206.073	246.546
R10H10.3.1	116.162	133.96	92.703
R10H10.6.1	41.3	25.978	22.203
R11A8.7a.1	34.979	32.495	36.817
R11A8.4a.1	26.44	26.528	33.845
R11A8.1a.1	4.244	2.992	1.756
R11A8.2.1	17.306	21.416	20.39
R11A8.5.1	49.18	71.512	52.273
R11A8.6.1	143.937	130.608	140.267
R11D1.11.1	53.879	53.188	29.783
R11D1.8.1	2425.018	1923.038	1837.108
R11D1.1b.1	17.439	18.837	24.582
R11D1.10a.1	14.472	13.354	14.008
R11D1.9.1	72.089	72.367	62.672
R11F4.1.1	12.846	49.89	36.382
R12B2.4.1	52.552	62.743	69.447
R12B2.5a.1	52.712	41.044	48.375
R12C12.9a.1	17.87	32.491	15.041
R12C12.5.1	58.086	67.584	54.001
R12C12.6a.1	36.992	64.216	43.095
R12C12.2.1	111.706	109.169	76.267
R12C12.1a.1	38.705	18.287	16.567
R12C12.7.1	30.148	31.53	23.633
R12H7.2.1	272.689	758.686	487.836
R13.4a.1	11.519	15.222	19.554
R13F6.10.1	78.794	66.41	56.491
R13G10.2.1	8.961	6.02	12.259
R151.9.1	187.427	123.605	115.14
R151.6.1	76.881	66.835	58.119
R166.2.1	90.896	58.553	81.125
R166.4.1	24.478	18.338	14.57
R186.3.1	31.243	37.734	46.397
R31.2a.1	43.032	49.132	34.903
R53.1a.1	15.137	17.546	15.637
R53.2.1	52.96	36.672	44.19
R53.6.1	43.721	51.115	34.082
R53.5.1	82.662	102.656	117.921
R53.4.1	866.998	878.88	816.538
R74.7.1	45.902	75.988	57.779
LLC1.1a.1	19.01	6.447	10.333
F42A6.7a.1	458.656	260.643	361.447
Y51H4A.3a.1	451.469	391.398	410.439
T01B7.3.1	34.61	30.57	19.822
T01B7.5a.1	26.854	36.99	31.379
T01B7.6.1	46.92	33.098	69.129
T01C3.7.1	382.482	303.215	272.796
T01C3.6.1	3667.905	2855.931	3012.469
T01C3.2.1	128.64	87.978	107.638
T01C3.8a.1	15.395	11.991	15.093
T01C8.2.1	56.667	70.879	44.842
T01C8.5.1	23.574	41.29	35.118
T01E8.4.1	26.043	26.435	24.867
T01G9.4.1	57.604	66.411	64.643
T01H3.2.1	7.127	12.516	10.537
T01H3.3.1	31.068	23.282	46.068
T01H3.4.1	166.198	178.493	173.541
T02C12.2.1	23.587	21.131	20.183
T02C12.3.1	21.155	20.57	23.91
T02G5.9a.1	312.863	270.789	323.432
T02G5.8.1	282.906	302.267	235.604
T02G5.7.1	177.315	188.847	142.438
T02G5.12.1	27.713	23.534	21.434
T02G5.13a.1	20.811	39.338	25.797
T03G11.4.1	11.287	11.505	10.335
T03G11.6.1	42.675	38.929	37.884
T04A8.6.1	76.743	54.5	54.562
T04A8.7a.1	161.965	163.94	130.726
T04A8.10.1	31.386	37.228	29.017
T04A8.11.1	35.551	74.362	52.816
T04A8.12.1	15.53	14.042	16.812
T04A8.16.1	7.304	13.777	13.231
