	young	middle	old
T27D12.1b.1	29.527	40.653	47.515
F38H4.8b.1	37.512	36.363	24.368
F26H11.6.1	18.282	33.208	37.069
Y65A5A.2a.1	107.581	130.348	96.853
Y25C1A.14.1	72.373	39.815	130.482
Y116A8C.28d.1	23.858	30.704	20.711
F20C5.3b.1	34.21	43.202	34.813
T12G3.2d.1	14.103	8.596	11.561
R144.7b.1	115.472	113.567	111.806
R10E4.2q.1	131.839	116.789	269.105
F28D9.4.1	26.663	24.944	14.978
Y58A7A.1b.1	55.79	27.329	27.122
Y102A5C.36.1	38.368	17.965	15.16
F45E1.4.1	9.457	16.996	7.467
M110.10.1	20.137	3.317	5.576
W04A8.6a.1	20.72	15.717	21.751
F53H2.3b.1	46.45	52.373	67.697
C08B6.7b.1	14.417	16.586	13.169
K09G1.1e.1	40.758	31.81	23.541
F21A10.2e.1	15.619	16.664	37.679
Y59A8B.22a.1	135.395	94.681	83.406
K11C4.3c.1	13.121	11.949	8.303
Y37H2A.5b.1	24.558	16.547	20.342
Y111B2A.12a.1	59.62	52.44	72.673
ZK1127.13.1	70.095	109.078	69.249
F45F2.9.1	27.777	43.919	31.31
F44D12.9c.1	7.692	17.606	11.968
F15B9.5a.1	16.426	19.034	9.606
T02G6.5c.1	17.621	8.122	12.081
ZK593.5b.1	24.99	20.999	18.31
K10D6.4b.1	9.256	13.043	16.889
Y62H9A.15b.1	26.356	17.166	8.923
Y48G1C.13.1	189.342	245.563	184.57
K02G10.8b.1	42.96	50.523	50.356
ZC376.6b.1	18.644	12.638	13.109
F53C11.4b.1	21.225	26.121	33.975
K09E4.2a.1	10.034	24.581	21.849
F54D12.6a.1	28.208	43.805	38.096
Y116A8C.30c.1	36.645	51.889	35.586
ZK1067.2b.1	9.169	9.827	11.136
C55A6.2b.1	65.915	50.218	54.892
Y95B8A.8.1	49.716	41.64	49.938
R13D11.4a.1	23.614	10.539	4.502
W05F2.8a.1	92.114	29.337	36.799
Y44A6D.3b.1	18.918	4.776	13.182
F21D5.2b.1	103.067	81.348	74.594
W05E10.4b.1	27.29	28.186	22.872
T04C12.11.1	54.563	111.677	66.891
W05B5.1g.1	31.167	16.57	18.17
T26C11.4b.1	13.224	4.574	7.278
F11C1.7b.1	15.014	7.652	7.202
Y57A10A.18c.1	56.851	51.32	63.763
Y56A3A.16b.1	8.493	13.969	12.938
Y62E10A.17b.1	43.69	27.187	43.719
B0511.9c.1	85.153	60.063	67.947
F38A1.8.1	49.337	53.735	45.599
T01B11.5a.1	30.239	21.105	15.232
F54C4.3.1	20.308	9.408	9.818
F47G3.4.1	64.222	90.263	147.871
Y53G8B.4a.1	9.135	15.209	14.213
F42A9.6b.1	26.688	10.583	11.708
K12H6.1.1	8.794	7.212	4.326
F25E2.2a.1	40.134	62.698	24.809
F49E8.2a.1	13.334	30.473	16.645
M03A8.4.1	17.915	8.478	4.728
T15B12.1b.1	14.151	16.006	12.788
M01E11.4c.1	84.284	88.362	70.373
ZC449.8.1	34.152	7.652	4.588
K08D10.14.1	14.148	11.071	22.667
T10F2.5.1	67.314	38.139	33.76
Y54E10BR.1a.1	4.156	7.547	6.511
Y71G10AL.1b.1	84.857	65.859	91.332
T27A1.5a.1	7.62	13.318	9.297
Y74C10AR.3a.1	26.712	30.499	30.618
Y45F10A.6a.1	5.602	15.225	12.333
F55F8.4.1	29.039	33.606	30.353
ZK377.2b.1	6.105	10.516	17.833
F15E11.14.1	1181.772	213.545	224.575
T28H10.3.1	172.032	369.124	463.458
T20G5.11.1	83.019	131.692	91.196
ZK381.1a.1	79.156	50.737	54.723
Y43F4B.9a.1	10.188	11.659	9.67
K03H1.10.1	19.299	38.211	32.782
Y19D10A.9.1	926.756	1782.712	733.389
T22H6.6a.1	2.812	5.5	5.552
F36H2.1a.1	33.449	43.982	45.777
M03F4.7a.1	152.048	153.373	199.246
Y54G2A.18.1	359.582	439.595	554.411
K02F3.6.1	25.62	33.002	11.5
K07A3.1a.1	192.337	207.449	147.637
K09C8.1.1	5.143	9.987	10.775
M7.5.1	39.55	32.673	34.976
F54F7.5.1	9.954	7.355	9.504
T07C4.10.1	11.828	11.338	8.769
Y76A2B.6.1	33.896	61.466	36.254
T13B5.1.1	22.129	20.101	20.052
K08C7.6.1	17.747	14.167	17.261
ZC247.1.1	8.901	3.696	11.391
F26A3.3.1	19.984	19.099	21.58
F18A1.3b.1	15.354	11.947	12.499
F11A5.10.1	24.535	20.814	43.858
R09B3.1a.1	55.071	52.878	36.497
ZC395.6.1	11.795	22.243	16.438
F52C9.7.1	25.153	25.881	27.03
H27A22.1b.1	16.001	12.796	13.406
W01C8.5a.1	9.99	7.779	8.942
C31B8.8.1	5.227	5.874	3.036
W01A11.4.1	281.663	300.171	304.491
C18G1.4a.1	134.329	141.586	127.537
E01B7.1.1	15.555	19.611	18.086
K07G5.6.1	32.687	21.897	20.707
R07B7.2a.1	15.22	12.106	9.969
C52E4.6a.1	17.88	18.241	17.274
F43G6.5.1	6.694	4.104	6.301
C14A4.4a.1	14.782	25.302	23.084
F25B3.6.1	43.25	34.677	53.013
F20G4.3.1	91.73	108.043	100.091
Y54F10BM.14.1	182.42	197.981	114.805
F26F12.7.1	96.674	64.408	91.832
C01C7.1a.1	7.204	3.589	5.313
H38K22.1.1	28.621	31.48	31.944
Y113G7B.4.1	12.334	20.088	15.086
Y111B2A.11.1	18.301	17.235	21.874
F55G11.4.1	65.182	539.274	261.014
C46A5.9.1	72.366	67.263	104.974
F59G1.5.1	26.109	15.916	18.581
Y49A3A.1.1	58.63	50.14	83.239
T23G11.2.1	137.957	109.316	74.152
F56D12.1a.1	37.26	62.987	50.753
M01E5.6.1	46.456	21.332	35.639
F57B10.7.1	35.046	42.845	27.592
F53F4.14.1	38.456	23.459	35.408
F42F12.8.1	308.013	758.269	439.215
Y54G9A.7.1	67.507	44.969	52.767
C50F2.10.1	133.359	189.562	537.169
Y48E1B.10.1	28.219	15.025	19.104
R07B7.1.1	18.819	26.41	23.802
W06H12.1.1	20.914	13.976	37.093
Y48E1C.1a.1	16.999	13.596	11.681
C09G9.6.1	311.142	262.268	238.333
ZK1307.8.1	122.48	168.252	157.258
F46E10.9.1	174.289	211.312	243.288
F02D8.4.1	17.435	13.565	8.414
T19B10.1.1	8.847	46.337	16.237
W06H3.3.1	133.822	157.966	126.935
F29C6.1a.1	41.071	39.173	30.44
T02D1.8.1	62.055	45.768	46.839
C09C7.1.1	11.893	8.618	17.65
W03C9.7a.1	387.02	180.031	188.332
F13G3.10a.1	146.444	162.841	131.488
W06H8.1b.1	123.37	117.329	159.766
F30A10.10b.1	29.304	37.014	29.34
K11B4.1.1	51.025	62.056	47.18
T25G3.2.1	40.386	34.902	31.331
T22C8.2.1	10.474	6.05	2.353
W02D3.8.1	24.693	17.147	13.937
F23B12.8b.1	37.726	35.26	32.422
Y54E2A.3.1	141.924	150.751	112.808
F29G9.4b.1	7.229	8.987	13.085
K02D7.4.1	19.838	23.263	19.47
F16H6.10.1	30.754	29.751	95.046
R06C1.1.1	33.776	54.138	51.779
F43G9.12a.1	12.718	23.328	16.048
F16A11.3d.1	35.107	33.507	34.79
T27E9.3.1	21.858	30.575	19.71
K08D8.6a.1	69.978	31.671	59.896
Y60A3A.13a.1	37.503	55.785	45.633
F46A9.6.1	16.049	20.587	31.003
C50B8.2.1	40.577	64.312	49.048
Y39A1A.19a.1	15.878	15.284	6.686
Y37A1B.17a.1	9.365	8.551	8.79
Y59E1A.2.1	74.922	59.787	72.164
M05D6.2.1	61.468	68.376	70.502
JC8.10b.1	20.774	16.965	12.194
W07E6.4.1	62.206	55.161	64.355
F26A3.8a.1	14.93	11.335	17.237
Y71H2AM.23.1	144.806	170.682	154.566
R01B10.1a.1	375.696	758.944	886.715
F13A7.14.1	17.752	18.331	14.252
F17H10.1.1	10.988	6.431	8.141
Y52D3.1a.1	27.579	32.475	29.295
C51E3.7a.1	23.689	14.12	15.053
K10D3.2.1	7.94	8.132	9.227
F27E11.3.1	15.166	6.468	15.806
F35G12.3a.1	18.789	16.469	17.453
F56G4.3.1	237.277	177.837	376.429
T25C12.3.1	53.221	58.09	46.051
Y19D10A.16.1	44.609	50.638	36.409
Y41C4A.10.1	277.878	235.186	282.212
F11E6.1a.1	6.093	9.662	4.901
R07H5.2a.1	89.239	108.575	91.932
F15E6.3.1	110.835	554.864	183.331
F08B6.2.1	264.044	211.505	303.967
F09A5.4c.1	10.905	13.785	12.731
F46A9.5.1	318.869	308.44	462.782
F44E5.5.1	10.876	14.766	24.569
T24H10.7a.1	19.881	27.507	35.503
ZK131.11b.1	4.503	5.324	6.247
F36H1.6.1	49.132	45.887	46.844
ZC168.1.1	7.853	5.32	6.554
F25B3.1.1	23.936	17.738	18.182
F07C6.4d.1	10.447	10.322	9.792
F02E9.9b.1	135.487	84.998	71.535
K10C8.3a.1	101.081	115.639	155.191
T09B4.10.1	41.533	36.36	53.732
T02C12.1.1	18.077	24.591	24.87
F35H10.10.1	4.612	5.191	3.583
T10B10.8.1	4.503	3.698	6.372
VF13D12L.1.1	67.628	54.611	46.467
H06O01.1.1	1053.652	1656.771	1351.772
H37N21.1.1	41.657	21.75	34.996
F26G5.9.1	28.222	26.173	32.219
Y48E1A.1a.1	12.529	10.876	11.223
T06A10.1a.1	14.72	12.251	9.564
T22C8.8.1	16.099	15.56	21.181
F18C12.2a.1	24.996	22.899	28.24
ZC513.8.1	11.765	19.125	8.934
Y47G6A.12.1	36.443	45.304	38.445
Y102A5A.1.1	178.38	147.423	162.883
H24K24.5a.1	7.206	16.258	9.813
W06D12.3.1	119.516	280.038	152.338
B0034.3a.1	16.417	19.503	25.542
M02D8.6.1	24.124	10.85	9.834
F22E12.1.1	19.773	20.245	21.346
Y34D9A.4.1	11.31	14.693	11.414
H28O16.2.1	25.182	16.444	21.244
K12D12.5.1	17.46	16.253	13.079
F53A2.8a.1	10.672	19.669	13.58
T10G3.5a.1	12.032	12.977	9.533
W02G9.2a.1	7.815	4.883	6.727
F57C7.2a.1	4.996	10.723	13.13
C26C6.5b.1	47.547	39.762	48.205
Y105E8A.19.1	73.132	62.228	62.767
F58G11.5.1	32.412	27.348	20.661
T09F3.1.1	6.842	7.913	9.523
T03F1.9.1	57.858	55.315	43.433
F58D5.4a.1	32.719	7.794	7.498
Y19D10A.5a.1	8.244	10.854	7.643
Y38F2AR.7.1	11.268	26.885	24.842
Y37D8A.23a.1	4.96	5.148	2.224
T01H3.1.1	214.833	208.563	210.148
T14G10.2a.1	5.687	9.155	8.257
Y57G11C.13.1	173.676	244.399	227.438
VW06B3R.1b.1	79.132	79.147	75.657
F44F4.11.1	32.727	26.856	28.249
F46A9.4.1	267.628	365.881	371.655
F57A8.1.1	21.241	6.961	12.166
W08E3.2.1	14.126	15.248	20.275
Y39G10AR.12a.1	196.956	158.039	187.078
K07A1.8.1	93.676	113.678	92.063
C33A11.1.1	8.321	16.436	18.46
M03C11.8.1	54.79	49.022	49.612
T28C6.6.1	10.719	37.842	29.245
F53F4.5a.1	17.191	18.774	22.008
Y39A1C.4.1	65.849	90.576	81.714
T11F9.12.1	8.554	4.951	6.929
K01G5.8b.1	82.361	103.5	119.881
W06A7.3f.1	82.689	78.614	96.062
F33A8.6.1	9.173	5.288	2.066
F15B10.2a.1	18.024	32.112	24.412
ZK809.4a.1	75.755	52.197	138.877
W07A8.3a.1	28.438	24.65	27.782
ZC376.3.1	5.617	12.711	8.545
Y102A5C.1.1	12.225	33.027	15.697
Y53F4B.15.1	44.856	40.023	35.163
K11D2.4a.1	7.427	7.435	5.929
K07C11.2.1	240.871	232.952	205.636
R05H10.3a.1	14.328	31.711	32.456
ZK1321.4b.1	31.161	19.563	6.987
K08F9.4.1	17.907	21.719	19.427
F36A2.3.1	42.49	36.601	16.62
W01G7.1.1	4.604	6.906	8.89
T27F7.4.1	6.972	3.294	6.172
Y75B8A.22.1	28.722	29.986	31.81
Y32F6A.5a.1	149.95	173.191	165.981
Y57A10C.6.1	54.138	74.264	54.285
Y110A7A.10.1	46.153	44.474	41.031
Y17G7A.1.1	167.302	285.997	187.297
F42F12.2.1	16.4	7.109	11.432
F26E4.1.1	94.767	68.498	102.329
K08F8.3.1	6.087	7.153	7.171
F46E10.2.1	59.269	17.746	21.565
F14D12.5.1	3.74	11.62	4.123
F31D4.1.1	25.471	22.688	21.53
C32F10.2.1	20.837	21.912	33.193
T01D3.6a.1	37.808	104.72	78.708
F36A2.13.1	30.887	23.771	36.735
ZK256.1c.1	20.678	16.832	16.006
R11E3.6a.1	7.352	4.983	6.172
Y37A1A.4a.1	2.352	3.367	7.807
Y39A1C.3.1	380.417	375.776	408.173
Y53H1B.2.1	95.63	163.771	142.22
VW02B12L.4.1	33.154	23.42	26.96
B0457.1a.1	11.134	12.98	26.833
C04A11.4a.1	6.268	9.18	10.056
B0454.1.1	14.741	18.659	19.531
VF13D12L.3.1	82.737	52.728	43.772
D1043.1.1	25.499	20.169	21.057
K03A11.1.1	7.85	8.555	8.53
F08A8.7.1	34.743	31.122	32.596
F39B1.1.1	5.922	5.721	5.061
T11G6.5a.1	12.218	11.201	10.199
Y80D3A.1.1	147.087	127.217	128.491
Y47D7A.1.1	446.623	361.126	520.319
T07C4.1.1	88.739	83.479	70.131
Y19D10A.4a.1	17.073	11.374	22.969
K01D12.11.1	35.172	73.417	67.394
K08B4.6.1	1392.52	3088.906	3935.847
T07A9.6.1	104.441	80.497	91.202
Y73E7A.6.1	116.359	81.916	94.569
T12D8.8.1	361.229	579.221	463.692
F39H2.3.1	32.168	33.154	28.033
K07C5.8a.1	59.159	50.264	55.424
Y76A2A.2a.1	13.704	17.972	22.679
Y39G10AR.13a.1	41.613	49.878	58.808
ZK652.11.1	108.536	150.837	123.349
ZK1098.11.1	69.104	68.498	79.233
F54D5.12.1	83.187	37.001	36.835
F58B3.9.1	198.76	152.654	277.493
